latitude,longitude,altitude,geometry,name,address1,address2,city,state,zip
42.07584,-72.032951,,Point,Cormier Jewelers,42 Central St.,,Southbridge,MA,1550
42.243661,-71.994572,,Point,Cormier Jewelers,136 Main St.,,Spencer,MA,1562
41.767312,-71.26038,,Point,Tickle’s,2219 GAR Highway,,Swansea,MA,2777
41.928614,-71.088102,,Point,Perry Jewelers,400 Broadway,,Taunton,MA,2780
41.673842,-73.073219,,Point,Barberet Jewelers,79 Main St.,,Thomaston,CT,6787
41.829851,-72.482095,,Point,Dunbar Jewelers,435 Hartford Tpke.,,Vernon,CT,6066
41.830512,-72.476041,,Point,Friedrich Jewelers,520 Hartford Tpke.,,Vernon,CT,6066
42.34912,-71.785347,,Point,Pucci Jewelers,205 West Boylston St.,,W. Boylston,MA,1583
41.440947,-71.489402,,Point,Bartone Jewelers,20 East Main St.,,Wakefield,RI,2879
41.440944,-71.496035,,Point,The Purple Cow,205 Main St.,,Wakefield,RI,2879
41.734378,-71.435108,,Point,Chief’s Jewelers,1724 Post Rd.,,Warwick,RI,2888
41.733976,-71.449046,,Point,National Gold,55 Access Way,,Warwick,RI,2886
42.049289,-71.882252,,Point,Paradise Jewelers,262 Main St.,,Webster,MA,1570
41.665408,-70.164969,,Point,Smith’s Time Service,467 Main St.,,West Dennis,MA,2670
42.56484,-71.425066,,Point,Diamond Jewelers,190 Littleton Rd.,,Westford,MA,1886
41.704354,-72.703064,,Point,Turgeon Jewelers,1841 Berlin Tpke.,,Wethersfield,CT,6109
42.194211,-70.920825,,Point,Harts,1356 Washington St.,,Weymouth,MA,2189
42.080612,-70.935932,,Point,Menards Jewelry,31 South Ave.,,Whitman,MA,2382
41.56837,-71.453122,,Point,Gold Lady,30 Phillips St.,,Wickford,RI,2852
42.680912,-72.047729,,Point,Patties,15 Central St.,,Winchendon,MA,1475
42.452381,-71.137077,,Point,Simms II,550 Main St.,,Winchester,MA,1890
42.806506,-71.293675,,Point,Clifford Jewelers,Clifford Jewelers,,Windham,NH,3087
42.468521,-71.17831,,Point,Musto Jewelers,186 Cambridge St.,,Woburn,MA,1801
42.199397,-71.429786,,Point,HOLLISTON JEWELERS,804 washington,,Holliston,MA,1746
